directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['涅提·蒂瓦里'],9.0,4500,45,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,26387939,6300
['加布里埃莱·穆奇诺'],9.1,1000,45,当幸福来敲门,https://movie.douban.com/subject/1849031/,"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,1849031,1500
['彼得·法雷里'],8.9,2000,45,绿皮书,https://movie.douban.com/subject/27060077/,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,27060077,3167
['梅尔·吉布森'],8.7,1417,45,血战钢锯岭,https://movie.douban.com/subject/26325320/,"['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩', '雨果·维文', '卢克·布雷西']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,26325320,2076
['朗·霍华德'],9.0,1920,45,美丽心灵,https://movie.douban.com/subject/1306029/,"['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默', '保罗·贝坦尼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,1306029,2850
['汤姆·霍珀'],8.4,1950,40,国王的演讲,https://movie.douban.com/subject/4023638/,"['科林·费尔斯', '杰弗里·拉什', '海伦娜·伯翰·卡特', '盖·皮尔斯', '迈克尔·刚本']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,4023638,2850
['梅尔·吉布森'],8.9,1011,45,勇敢的心,https://movie.douban.com/subject/1294639/,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,1294639,1500
['史蒂文·斯皮尔伯格'],8.9,1000,45,猫鼠游戏,https://movie.douban.com/subject/1305487/,"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,1305487,1481
['贝纳尔多·贝托鲁奇'],9.2,1985,45,末代皇帝,https://movie.douban.com/subject/1293172/,"['尊龙', '陈冲', '邬君梅', '彼得·奥图尔', '英若诚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,1293172,3000
['王家卫'],7.9,1984,40,一代宗师,https://movie.douban.com/subject/3821067/,"['梁朝伟', '章子怡', '张震', '宋慧乔', '赵本山']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217557172.jpg,3821067,2835
