directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['克里斯托弗·诺兰'],9.3,2229,45,盗梦空间,https://movie.douban.com/subject/3541415/,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,3541415,3300
"['安东尼·罗素', '乔·罗素']",8.1,1968,40,复仇者联盟3：无限战争,https://movie.douban.com/subject/24773958/,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,24773958,2756
"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']",9.2,1418,45,疯狂动物城,https://movie.douban.com/subject/25662329/,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,25662329,2005
['温子仁'],7.6,6750,40,海王,https://movie.douban.com/subject/3878007/,"['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg,3878007,10000
['詹姆斯·卡梅隆'],8.7,400,45,阿凡达,https://movie.douban.com/subject/1652587/,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,1652587,592
['克里斯托弗·诺兰'],9.3,4858,45,星际穿越,https://movie.douban.com/subject/1889243/,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,1889243,7200
['史蒂文·斯皮尔伯格'],8.7,2000,45,头号玩家,https://movie.douban.com/subject/4920389/,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,4920389,3000
['李安'],9.0,3375,45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,1929463,5000
"['彼特·道格特', '鲍勃·彼德森']",9.0,2700,45,飞屋环游记,https://movie.douban.com/subject/2129039/,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,2129039,4000
['安德鲁·斯坦顿'],9.3,1280,45,机器人总动员,https://movie.douban.com/subject/2131459/,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2498830199.jpg,2131459,1920
['宫崎骏'],9.2,1600,45,龙猫,https://movie.douban.com/subject/1291560/,"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,1291560,2358
['乔斯·韦登'],8.2,1350,40,复仇者联盟,https://movie.douban.com/subject/1866479/,"['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1469137689.jpg,1866479,2000
['克里斯托弗·麦奎里'],8.1,2048,40,碟中谍6：全面瓦解,https://movie.douban.com/subject/26336252/,"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529365085.jpg,26336252,3034
"['安东尼·罗素', '乔·罗素']",8.5,3000,45,复仇者联盟4：终局之战,https://movie.douban.com/subject/26100958/,"['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,26100958,4440
['韩延'],7.2,2999,35,动物世界,https://movie.douban.com/subject/26925317/,"['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg,26925317,4181
"['皮埃尔·柯芬', '克里斯·雷纳德']",8.6,1013,45,神偷奶爸,https://movie.douban.com/subject/3287562/,"['史蒂夫·卡瑞尔', '杰森·席格尔', '拉塞尔·布兰德', '朱莉·安德鲁斯', '威尔·阿奈特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,3287562,1500
