directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['史蒂文·斯皮尔伯格'],9.5,580,50,辛德勒的名单,https://movie.douban.com/subject/1295124/,"['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,1295124,856
['冯小刚'],7.6,2000,40,芳华,https://movie.douban.com/subject/26862829/,"['黄轩', '苗苗', '钟楚曦', '杨采钰', '李晓峰']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507227732.jpg,26862829,2802
['梅尔·吉布森'],8.7,1417,45,血战钢锯岭,https://movie.douban.com/subject/26325320/,"['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩', '雨果·维文', '卢克·布雷西']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,26325320,2076
['克里斯托弗·诺兰'],8.4,3500,40,敦刻尔克,https://movie.douban.com/subject/26607693/,"['菲恩·怀特海德', '汤姆·格林-卡尼', '杰克·劳登', '哈里·斯泰尔斯', '阿奈林·巴纳德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494950714.jpg,26607693,5155
['汤姆·霍珀'],8.4,1950,40,国王的演讲,https://movie.douban.com/subject/4023638/,"['科林·费尔斯', '杰弗里·拉什', '海伦娜·伯翰·卡特', '盖·皮尔斯', '迈克尔·刚本']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,4023638,2850
['张艺谋'],9.2,1200,45,活着,https://movie.douban.com/subject/1292365/,"['葛优', '巩俐', '姜武', '牛犇', '郭涛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,1292365,1695
['张艺谋'],8.1,2142,40,金陵十三钗,https://movie.douban.com/subject/3649049/,"['克里斯蒂安·贝尔', '倪妮', '张歆怡', '黄天元', '韩熙庭']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1322247572.jpg,3649049,3000
['梅尔·吉布森'],8.9,1011,45,勇敢的心,https://movie.douban.com/subject/1294639/,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,1294639,1500
['史蒂文·斯皮尔伯格'],9.0,2468,45,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,1292849,3498
"['维克多·弗莱明', '乔治·库克', '山姆·伍德']",9.3,400,45,乱世佳人,https://movie.douban.com/subject/1300267/,"['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '托马斯·米切尔', '芭芭拉·欧内尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,1300267,571
['贝纳尔多·贝托鲁奇'],9.2,1985,45,末代皇帝,https://movie.douban.com/subject/1293172/,"['尊龙', '陈冲', '邬君梅', '彼得·奥图尔', '英若诚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,1293172,3000
['姜文'],9.2,1515,45,鬼子来了,https://movie.douban.com/subject/1291858/,"['姜文', '香川照之', '袁丁', '姜宏波', '丛志军']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,1291858,2127
['冯小刚'],7.6,1432,40,唐山大地震,https://movie.douban.com/subject/3596502/,"['徐帆', '张静初', '李晨', '陈道明', '张子枫']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p545837150.jpg,3596502,2000
['叶伟信'],7.6,2054,40,叶问,https://movie.douban.com/subject/3041806/,"['甄子丹', '任达华', '熊黛林', '池内博之', '林家栋']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p458263441.jpg,3041806,2846
['罗曼·波兰斯基'],9.1,1000,45,钢琴家,https://movie.douban.com/subject/1296736/,"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,1296736,1381
