directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['温子仁'],8.7,2032,45,电锯惊魂,https://movie.douban.com/subject/1417598/,"['雷·沃纳尔', '加利·艾尔维斯', '丹尼·格洛弗', '肯·梁', '迪娜·迈耶']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg,1417598,3000
['弗朗西斯·劳伦斯'],8.0,972,40,我是传奇,https://movie.douban.com/subject/1820156/,"['威尔·史密斯', '艾莉丝·布拉加', '达什·米霍克', '莎莉·理查德森', '查理·塔汉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p574158935.jpg,1820156,1440
['佐米·希尔拉'],8.1,1200,40,孤儿怨,https://movie.douban.com/subject/3011308/,"['维拉·法米加', '彼得·萨斯加德', '伊莎贝拉·弗尔曼', '希·庞德', '吉米·本内特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184386443.jpg,3011308,1778
['斯坦利·库布里克'],8.1,1191,40,闪灵,https://movie.douban.com/subject/1292225/,"['杰克·尼科尔森', '谢莉·杜瓦尔', '丹尼·劳埃德', '斯加特曼·克罗索斯', '巴瑞·尼尔森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461253191.jpg,1292225,1719
['约翰·卡拉辛斯基'],6.3,960,30,寂静之地,https://movie.douban.com/subject/26997663/,"['艾米莉·布朗特', '约翰·卡拉辛斯基', '米利森特·西蒙兹', '诺亚·尤佩', '凯德·伍德沃德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518852413.jpg,26997663,1500
['黄毅瑜'],7.8,1535,40,死神来了,https://movie.douban.com/subject/1300300/,"['戴文·萨瓦', '艾丽·拉特', '科尔·史密斯', '克里森·克拉克', '丹尼尔·洛巴克']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1332799477.jpg,1300300,2174
['保罗·安德森'],8.0,2026,40,生化危机,https://movie.douban.com/subject/1306809/,"['米拉·乔沃维奇', '米歇尔·罗德里格兹', '科林·萨蒙', '埃里克·马比斯', '詹姆斯·鲍弗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174120073.jpg,1306809,3000
"['伊恩·索夫特雷', '尼克·惠特菲尔德']",7.9,509,40,万能钥匙,https://movie.douban.com/subject/1418752/,"['凯特·哈德森', '吉娜·罗兰兹', '约翰·赫特', '彼得·萨斯加德', '乔伊·布赖恩特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p810384382.jpg,1418752,755
['乔丹·皮尔'],7.7,2526,40,逃出绝命镇,https://movie.douban.com/subject/26688480/,"['丹尼尔·卡卢亚', '艾莉森·威廉姆斯', '凯瑟琳·基纳', '布莱德利·惠特福德', '卡赖伯·兰德里·琼斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508604641.jpg,26688480,4000
['雷德利·斯科特'],7.4,1126,35,异形：契约,https://movie.douban.com/subject/11803087/,"['迈克尔·法斯宾德', '凯瑟琳·沃特斯顿', '比利·克鲁德普', '丹尼·麦克布莱德', '德米安·比齐尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2459944375.jpg,11803087,1600
['保罗·安德森'],6.5,2953,35,生化危机：终章,https://movie.douban.com/subject/20471852/,"['米拉·乔沃维奇', '伊恩·格雷', '艾丽·拉特', '鲁比·罗丝', '李准基']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2429713841.jpg,20471852,4144
['弗兰克·德拉邦特'],7.9,1020,40,迷雾,https://movie.douban.com/subject/1945330/,"['托马斯·简', '马西娅·盖伊·哈登', '劳瑞·侯登', '安德鲁·布劳尔', '托比·琼斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1970406441.jpg,1945330,1500
['克里斯多夫·甘斯'],7.6,481,40,寂静岭,https://movie.douban.com/subject/1466007/,"['拉达·米切尔', '肖恩·宾', '劳瑞·侯登', '黛博拉·卡拉·安格', '金·寇兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p554634907.jpg,1466007,655
['克里斯托弗·兰登'],7.1,1976,35,忌日快乐,https://movie.douban.com/subject/27027913/,"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '查尔斯·艾特肯', '劳拉·克利夫顿']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510057340.jpg,27027913,3000
['亚历山大·维特'],7.8,1782,40,生化危机2：启示录,https://movie.douban.com/subject/1308752/,"['米拉·乔沃维奇', '西耶娜·盖尔利', '奥德·菲尔', '托马斯·克莱舒曼', '索菲·瓦瓦塞尔']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1212493067.jpg,1308752,2499
['亚历杭德罗·阿梅纳瓦尔'],8.1,400,40,小岛惊魂,https://movie.douban.com/subject/1301459/,"['妮可·基德曼', '菲奥纽拉·弗拉纳根', '克里斯托弗·埃克莱斯顿', '阿拉济纳·曼恩', '詹姆斯·本特利']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492298664.jpg,1301459,600
