directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['鲁本·弗雷斯彻'],7.2,2050,35,毒液：致命守护者,https://movie.douban.com/subject/3168101/,"['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg,3168101,2910
['克里斯托弗·麦奎里'],8.1,2048,40,碟中谍6：全面瓦解,https://movie.douban.com/subject/26336252/,"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529365085.jpg,26336252,3034
['詹姆斯·麦克特格'],8.9,1000,45,V字仇杀队,https://movie.douban.com/subject/1309046/,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,1309046,1500
['延尚昊'],8.4,1500,40,釜山行,https://movie.douban.com/subject/25986180/,"['孔侑', '郑有美', '马东锡', '金秀安', '金义城']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,25986180,2145
['奥里奥尔·保罗'],8.8,5906,45,看不见的客人,https://movie.douban.com/subject/26580232/,"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,26580232,8425
"['埃里克·布雷斯', 'J·麦基·格鲁伯']",8.8,800,45,蝴蝶效应,https://movie.douban.com/subject/1292343/,"['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1863330956.jpg,1292343,1200
['大卫·芬奇'],8.8,709,45,七宗罪,https://movie.douban.com/subject/1292223/,"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,1292223,1002
['克里斯托弗·诺兰'],9.1,4050,45,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,1851857,6000
['乔恩·费儒'],8.2,448,40,钢铁侠,https://movie.douban.com/subject/1432146/,"['小罗伯特·唐尼', '泰伦斯·霍华德', '格温妮斯·帕特洛', '杰夫·布里吉斯', '莱丝莉·比伯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p725871968.jpg,1432146,672
['达伦·阿伦诺夫斯基'],8.5,2200,45,黑天鹅,https://movie.douban.com/subject/1978709/,"['娜塔莉·波特曼', '米拉·库尼斯', '文森特·卡索', '芭芭拉·赫希', '薇诺娜·瑞德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,1978709,3260
['马丁·斯科塞斯'],8.8,2480,45,禁闭岛,https://movie.douban.com/subject/2334904/,"['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,2334904,3543
['大卫·芬奇'],9.0,400,45,搏击俱乐部,https://movie.douban.com/subject/1292000/,"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,1292000,592
