directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['拉吉库马尔·希拉尼'],9.2,3030,45,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,3793023,4364
"['罗杰·阿勒斯', '罗伯·明可夫']",9.0,1971,45,狮子王,https://movie.douban.com/subject/1301753/,"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,1301753,2937
['达米恩·查泽雷'],8.4,4050,40,爱乐之城,https://movie.douban.com/subject/25934014/,"['瑞恩·高斯林', '艾玛·斯通', '约翰·传奇', '罗丝玛丽·德薇特', '芬·维特洛克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.jpg,25934014,6000
"['克里斯·巴克', '珍妮弗·李']",8.3,1373,40,冰雪奇缘,https://movie.douban.com/subject/4202982/,"['克里斯汀·贝尔', '伊迪娜·门泽尔', '乔纳森·格罗夫', '乔什·加德', '圣蒂诺·方塔纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166640945.jpg,4202982,1969
['中岛哲也'],8.9,516,45,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,"['中谷美纪', '瑛太', '香川照之', '市川实日子', '伊势谷友介']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,1787291,728
['罗伯特·怀斯'],9.0,800,45,音乐之声,https://movie.douban.com/subject/1294408/,"['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg,1294408,1200
['比尔·康顿'],7.2,1500,35,美女与野兽,https://movie.douban.com/subject/25900945/,"['艾玛·沃森', '丹·史蒂文斯', '卢克·伊万斯', '凯文·克莱恩', '乔什·加德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2417948644.jpg,25900945,2100
['汤姆·霍珀'],8.6,1012,45,悲惨世界,https://movie.douban.com/subject/6860160/,"['休·杰克曼', '罗素·克劳', '安妮·海瑟薇', '阿曼达·塞弗里德', '萨莎·拜伦·科恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1900812761.jpg,6860160,1500
"['陈可辛', '赵良骏']",7.7,3014,40,如果·爱,https://movie.douban.com/subject/1418070/,"['金城武', '周迅', '张学友', '池珍熙', '曾志伟']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p461379838.jpg,1418070,4302
"['加斯·詹宁斯', '克里斯托夫·卢尔德莱']",8.1,1000,40,欢乐好声音,https://movie.douban.com/subject/26354572/,"['马修·麦康纳', '瑞茜·威瑟斯彭', '塞思·麦克法兰', '斯嘉丽·约翰逊', '约翰·C·赖利']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2411622136.jpg,26354572,1500
['刘镇伟'],7.1,976,35,天下无双,https://movie.douban.com/subject/1307323/,"['梁朝伟', '王菲', '赵薇', '张震', '朱茵']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2205490720.jpg,1307323,1280
['盖·里奇'],7.6,1900,40,阿拉丁,https://movie.douban.com/subject/26891256/,"['梅纳·玛索德', '娜奥米·斯科特', '威尔·史密斯', '马尔万·肯扎里', '纳维德·内加班']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553992741.jpg,26891256,2715
"['加里·特洛斯达勒', '柯克·维斯']",8.4,1280,40,美女与野兽,https://movie.douban.com/subject/1297995/,"['佩吉·奥哈拉', '罗比·本森', '理查德·怀特', '杰里·奥尔巴赫', '戴维·奥格登·施蒂尔斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2238467474.jpg,1297995,1892
['迈克尔·格雷西'],7.7,644,40,马戏之王,https://movie.douban.com/subject/3914513/,"['休·杰克曼', '米歇尔·威廉姆斯', '扎克·埃夫隆', '赞达亚', '丽贝卡·弗格森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511346392.jpg,3914513,900
"['斯坦利·多南', '吉恩·凯利']",9.0,1046,45,雨中曲,https://movie.douban.com/subject/1293460/,"['吉恩·凯利', '唐纳德·奥康纳', '黛比·雷诺斯', '简·哈根', '米勒德·米切尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,1293460,1500
['周杰伦'],6.7,1429,35,天台爱情,https://movie.douban.com/subject/10833924/,"['周杰伦', '王学圻', '曾志伟', '柯有伦', '李心艾']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2006855292.jpg,10833924,2000
"['罗恩·克莱蒙兹', '约翰·马斯克', '唐·霍尔', '克里斯·威廉姆斯']",7.6,1418,40,海洋奇缘,https://movie.douban.com/subject/25793398/,"['奥丽伊·卡瓦洛', '道恩·强森', '瑞切尔·豪斯', '特穆拉·莫里森', '杰梅奈·克莱门特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2397960879.jpg,25793398,1986
['蒂姆·波顿'],7.7,3378,40,理发师陶德,https://movie.douban.com/subject/1820145/,"['约翰尼·德普', '海伦娜·伯翰·卡特', '艾伦·瑞克曼', '蒂莫西·斯波', '萨莎·拜伦·科恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1662825746.jpg,1820145,5000
['巴兹·鲁赫曼'],7.9,400,40,红磨坊,https://movie.douban.com/subject/1304641/,"['妮可·基德曼', '伊万·麦克格雷格', '约翰·雷吉扎莫', '吉姆·布劳德本特', '理查德·劳斯伯格']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p770508669.jpg,1304641,588
"['戴维·汉德', '拉里·莫里']",8.2,550,40,白雪公主和七个小矮人,https://movie.douban.com/subject/1297756/,"['阿德里亚娜·卡塞洛蒂', '罗伊·阿特威尔', 'Stuart Buchanan', '莫洛尼·奥尔森', 'Billy Gilbert']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p852652557.jpg,1297756,836
['罗伯·马歇尔'],8.8,2000,45,芝加哥,https://movie.douban.com/subject/1307697/,"['蕾妮·齐薇格', '凯瑟琳·泽塔-琼斯', '理查·基尔', '奎恩·拉提法', '约翰·C·赖利']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454020352.jpg,1307697,3000
['安妮·弗莱彻'],7.7,1620,40,舞出我人生,https://movie.douban.com/subject/1829230/,"['查宁·塔图姆', '珍娜·迪万', '马里奥', '德鲁·西德拉', '瑞切尔·格里菲斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477592337.jpg,1829230,2401
"['罗恩·克莱蒙兹', '约翰·马斯克']",8.4,510,40,小美人鱼,https://movie.douban.com/subject/1293120/,"['雷内·奥博诺伊斯', 'Christopher Daniel Barnes', '裘蒂·班森', '南茜·卡特莱特', '雪莉·琳恩']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p827079407.jpg,1293120,755
['拉斯·冯·提尔'],8.2,1353,40,黑暗中的舞者,https://movie.douban.com/subject/1291562/,"['比约克', '凯瑟琳·德纳芙', '大卫·摩斯', '彼得·斯特曼', '乔尔·格雷']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910831341.jpg,1291562,2000
['乔治·库克'],8.1,599,40,窈窕淑女,https://movie.douban.com/subject/1297965/,"['奥黛丽·赫本', '雷克斯·哈里森', '斯坦利·霍洛威', '杰瑞米·布雷特', '维尔弗雷德·海德-怀特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p842376184.jpg,1297965,850
['史蒂芬·戴德利'],8.8,733,45,跳出我天地,https://movie.douban.com/subject/1301169/,"['杰米·贝尔', '朱丽·沃特斯', '杰米·德拉文', '加里·刘易斯', '斯图亚特·韦尔斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p531278288.jpg,1301169,1040
['菲利达·劳埃德'],7.5,998,40,妈妈咪呀,https://movie.douban.com/subject/2054024/,"['梅丽尔·斯特里普', '阿曼达·塞弗里德', '皮尔斯·布鲁斯南', '科林·费尔斯', '斯特兰·斯卡斯加德']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p705031957.jpg,2054024,1500
"['伊桑·科恩', '乔尔·科恩']",8.5,1500,45,巴斯特·斯克鲁格斯的歌谣,https://movie.douban.com/subject/26952704/,"['哈利·米尔林', '佐伊·卡赞', '连姆·尼森', '詹姆斯·弗兰科', '大卫·克鲁霍尔特兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg,26952704,2222
"['克莱德·杰洛尼米', '威尔弗雷德·杰克逊', '汉密尔顿·卢斯科']",8.3,600,40,仙履奇缘,https://movie.douban.com/subject/1294461/,"['艾琳·伍兹', 'Eleanor Audley', '薇娜·费尔顿']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833051594.jpg,1294461,880
['马楚成'],6.1,770,30,芭啦芭啦樱之花,https://movie.douban.com/subject/1298346/,"['郭富城', '张柏芝', '阿牛', '韩雪', '恬妞']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2553650344.jpg,1298346,1080
['凯文·利玛'],7.1,2336,35,魔法奇缘,https://movie.douban.com/subject/1971111/,"['艾米·亚当斯', '帕特里克·德姆西', '詹姆斯·麦斯登', '蒂莫西·斯波', '伊迪娜·门泽尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1293401003.jpg,1971111,3451
