directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['姜文'],8.8,1500,45,让子弹飞,https://movie.douban.com/subject/3742360/,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,3742360,2200
['宁浩'],8.2,5953,40,无人区,https://movie.douban.com/subject/3804891/,"['徐峥', '黄渤', '余男', '多布杰', '王双宝']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159072475.jpg,3804891,8315
['昆汀·塔伦蒂诺'],8.7,1000,45,被解救的姜戈,https://movie.douban.com/subject/6307447/,"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹', '塞缪尔·杰克逊', '凯丽·华盛顿']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,6307447,1666
['爱德华·兹威克'],8.8,503,45,燃情岁月,https://movie.douban.com/subject/1295865/,"['布拉德·皮特', '安东尼·霍普金斯', '艾丹·奎因', '朱莉娅·奥蒙德', '亨利·托马斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg,1295865,755
['昆汀·塔伦蒂诺'],8.4,8100,40,八恶人,https://movie.douban.com/subject/25787888/,"['塞缪尔·杰克逊', '库尔特·拉塞尔', '詹妮弗·杰森·李', '沃尔顿·戈金斯', '德米安·比齐尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2287491621.jpg,25787888,12000
['戈尔·维宾斯基'],7.9,2000,40,兰戈,https://movie.douban.com/subject/2998253/,"['约翰尼·德普', '艾拉·菲舍尔', '阿比盖尔·布蕾斯琳', '尼德·巴蒂', '阿尔弗雷德·莫里纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1000880652.jpg,2998253,3124
['赛尔乔·莱昂内'],9.1,450,45,黄金三镖客,https://movie.douban.com/subject/1401118/,"['克林特·伊斯特伍德', '埃里·瓦拉赫', '李·范·克里夫', '阿尔多·久弗瑞', '路易吉·皮斯蒂利']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2101693489.jpg,1401118,635
['凯文·科斯特纳'],8.9,500,45,与狼共舞,https://movie.douban.com/subject/1293764/,"['凯文·科斯特纳', '玛丽·麦克唐纳', '格雷厄姆·格林', '罗德尼·格兰特', '弗洛伊德·怀斯特曼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p499158228.jpg,1293764,712
"['乔尔·科恩', '伊桑·科恩']",8.2,1000,40,大地惊雷,https://movie.douban.com/subject/3626372/,"['杰夫·布里吉斯', '海莉·斯坦菲尔德', '马特·达蒙', '乔什·布洛林', '巴里·佩珀']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1046956087.jpg,3626372,1481
['戈尔·维宾斯基'],7.0,1000,35,独行侠,https://movie.douban.com/subject/3024838/,"['约翰尼·德普', '艾米·汉莫', '海伦娜·伯翰·卡特', '巴里·佩珀', '威廉·菲克纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2121685760.jpg,3024838,1472
