directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['文牧野'],9.0,2810,45,我不是药神,https://movie.douban.com/subject/26752088/,"['徐峥', '王传君', '周一围', '谭卓', '章宇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,26752088,3937
['吕克·贝松'],9.4,658,45,这个杀手不太冷,https://movie.douban.com/subject/1295644/,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,1295644,980
['弗兰克·德拉邦特'],9.7,2000,50,肖申克的救赎,https://movie.douban.com/subject/1292052/,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1292052,2963
['罗伯特·泽米吉斯'],9.5,2445,50,阿甘正传,https://movie.douban.com/subject/1292720/,"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg,1292720,3229
['克里斯托弗·诺兰'],9.3,2229,45,盗梦空间,https://movie.douban.com/subject/3541415/,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,3541415,3300
['宫崎骏'],9.3,1080,45,千与千寻,https://movie.douban.com/subject/1291561/,"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,1291561,1560
['詹姆斯·卡梅隆'],9.4,2015,45,泰坦尼克号,https://movie.douban.com/subject/1292722/,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,1292722,3000
['陈凯歌'],9.6,600,50,霸王别姬,https://movie.douban.com/subject/1291546/,"['张国荣', '张丰毅', '巩俐', '葛优', '英达']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,1291546,889
['拉吉库马尔·希拉尼'],9.2,3030,45,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,3793023,4364
['姜文'],8.8,1500,45,让子弹飞,https://movie.douban.com/subject/3742360/,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,3742360,2200
['罗伯·莱纳'],9.0,1076,45,怦然心动,https://movie.douban.com/subject/3319755/,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,3319755,1600
['涅提·蒂瓦里'],9.0,4500,45,摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg,26387939,6300
['拉斯·霍尔斯道姆'],9.3,1433,45,忠犬八公的故事,https://movie.douban.com/subject/3011091/,"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,3011091,2028
['加布里埃莱·穆奇诺'],9.1,2019,45,当幸福来敲门,https://movie.douban.com/subject/1849031/,"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,1849031,3000
['黄渤'],7.1,1080,35,一出好戏,https://movie.douban.com/subject/26985127/,"['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg,26985127,1512
['朱塞佩·托纳多雷'],9.2,600,45,海上钢琴师,https://movie.douban.com/subject/1292001/,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,1292001,884
['新海诚'],8.4,1428,40,你的名字。,https://movie.douban.com/subject/26683290/,"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,26683290,2000
['彼得·威尔'],9.2,997,45,楚门的世界,https://movie.douban.com/subject/1292064/,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,1292064,1500
['克里斯托弗·诺兰'],9.3,4858,45,星际穿越,https://movie.douban.com/subject/1889243/,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,1889243,7200
['李安'],9.0,3375,45,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,1929463,5000
['庄文强'],8.1,1000,40,无双,https://movie.douban.com/subject/26425063/,"['周润发', '郭富城', '张静初', '冯文娟', '廖启智']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,26425063,1400
['克里斯托夫·巴拉蒂'],9.3,491,45,放牛班的春天,https://movie.douban.com/subject/1291549/,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,1291549,655
"['彼特·道格特', '鲍勃·彼德森']",9.0,2700,45,飞屋环游记,https://movie.douban.com/subject/2129039/,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,2129039,4000
['九把刀'],8.1,512,40,那些年，我们一起追的女孩,https://movie.douban.com/subject/4920528/,"['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1062824805.jpg,4920528,720
"['普特鹏·普罗萨卡·那·萨克那卡林', '华森·波克彭']",8.4,1280,40,初恋这件小事,https://movie.douban.com/subject/4739952/,"['平采娜·乐维瑟派布恩', '马里奥·毛瑞尔', '苏达拉·布查蓬', '雅尼卡·桑普蕾舞', '诺特·阿查拉那·阿瑞亚卫考']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,4739952,1829
['饶晓志'],8.1,1429,40,无名之辈,https://movie.douban.com/subject/27110296/,"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,27110296,2000
"['刘伟强', '麦兆辉']",9.2,1000,45,无间道,https://movie.douban.com/subject/1307914/,"['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,1307914,1518
['饺子'],8.6,5594,45,哪吒之魔童降世,https://movie.douban.com/subject/26794435/,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,26794435,8268
['蒂姆·波顿'],8.7,498,45,剪刀手爱德华,https://movie.douban.com/subject/1292370/,"['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,1292370,755
['彼得·法雷里'],8.9,2000,45,绿皮书,https://movie.douban.com/subject/27060077/,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,27060077,3167
