directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['吕克·贝松'],9.4,658,45,这个杀手不太冷,https://movie.douban.com/subject/1295644/,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,1295644,980
"['安东尼·罗素', '乔·罗素']",8.1,1968,40,复仇者联盟3：无限战争,https://movie.douban.com/subject/24773958/,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,24773958,2756
['姜文'],8.8,1500,45,让子弹飞,https://movie.douban.com/subject/3742360/,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,3742360,2200
['鲁本·弗雷斯彻'],7.2,2050,35,毒液：致命守护者,https://movie.douban.com/subject/3168101/,"['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg,3168101,2910
['温子仁'],7.6,6750,40,海王,https://movie.douban.com/subject/3878007/,"['杰森·莫玛', '艾梅柏·希尔德', '威廉·达福', '帕特里克·威尔森', '妮可·基德曼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541280047.jpg,3878007,10000
['詹姆斯·卡梅隆'],8.7,400,45,阿凡达,https://movie.douban.com/subject/1652587/,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,1652587,592
['史蒂文·斯皮尔伯格'],8.7,2000,45,头号玩家,https://movie.douban.com/subject/4920389/,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,4920389,3000
['庄文强'],8.1,1000,40,无双,https://movie.douban.com/subject/26425063/,"['周润发', '郭富城', '张静初', '冯文娟', '廖启智']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,26425063,1400
['林超贤'],8.3,1429,40,红海行动,https://movie.douban.com/subject/26861685/,"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,26861685,2000
['乔斯·韦登'],8.2,1350,40,复仇者联盟,https://movie.douban.com/subject/1866479/,"['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1469137689.jpg,1866479,2000
['吴京'],7.1,1024,35,战狼2,https://movie.douban.com/subject/26363254/,"['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg,26363254,1548
