directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['陈凯歌'],9.6,600,50,霸王别姬,https://movie.douban.com/subject/1291546/,"['张国荣', '张丰毅', '巩俐', '葛优', '英达']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,1291546,889
['李安'],8.8,1012,45,断背山,https://movie.douban.com/subject/1418834/,"['希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯', '安妮·海瑟薇', '凯特·玛拉']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,1418834,1500
['王家卫'],8.9,487,45,春光乍泄,https://movie.douban.com/subject/1292679/,"['张国荣', '梁朝伟', '张震', '格利高里·戴顿']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,1292679,711
['莫滕·泰杜姆'],8.6,1772,45,模仿游戏,https://movie.douban.com/subject/10463953/,"['本尼迪克特·康伯巴奇', '凯拉·奈特莉', '马修·古迪', '罗里·金奈尔', '艾伦·里奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,10463953,2480
['易智言'],8.3,769,40,蓝色大门,https://movie.douban.com/subject/1308575/,"['陈柏霖', '桂纶镁', '梁又琳', '仇政', '明金成']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2562341754.jpg,1308575,1085
['卢卡·瓜达尼诺'],8.8,1394,45,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,"['艾米·汉莫', '蒂莫西·柴勒梅德', '迈克尔·斯图巴', '阿蜜拉·卡萨', '艾斯特·加瑞尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,26799731,2048
['让-马克·瓦雷'],8.7,4051,45,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,"['马修·麦康纳', '詹妮弗·加纳', '杰瑞德·莱托', '斯蒂夫·扎恩', '达拉斯·罗伯特斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,1793929,6001
['布莱恩·辛格'],8.7,3000,45,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,5300054,4418
['楚克·萨克瑞科'],8.3,938,40,爱在暹罗,https://movie.douban.com/subject/2365260/,"['维特维斯特·海伦亚沃恩酷', '马里奥·毛瑞尔', '赖拉·邦雅淑', '坎雅·拉坦娜佩琦', '辛扎伊·本班尼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1024585648.jpg,2365260,1328
['李安'],8.9,535,45,喜宴,https://movie.douban.com/subject/1303037/,"['赵文瑄', '郎雄', '归亚蕾', '金素梅', '米切尔·利希藤斯坦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg,1303037,724
['关锦鹏'],8.2,400,40,蓝宇,https://movie.douban.com/subject/1308076/,"['胡军', '刘烨', '苏瑾', '李华彤', '卢芳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475949706.jpg,1308076,563
['朴赞郁'],8.1,2000,40,小姐,https://movie.douban.com/subject/25977027/,"['金敏喜', '金泰梨', '河正宇', '赵震雄', '金海淑']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg,25977027,2857
['托德·海因斯'],8.3,8265,40,卡罗尔,https://movie.douban.com/subject/10757577/,"['凯特·布兰切特', '鲁妮·玛拉', '凯尔·钱德勒', '杰克·莱西', '莎拉·保罗森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2312679154.jpg,10757577,11780
