directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['文牧野'],9.0,2810,45,我不是药神,https://movie.douban.com/subject/26752088/,"['徐峥', '王传君', '周一围', '谭卓', '章宇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,26752088,3937
"['闫非', '彭大魔']",6.6,679,35,西虹市首富,https://movie.douban.com/subject/27605698/,"['沈腾', '宋芸桦', '张一鸣', '张晨光', '常远']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg,27605698,950
['拉吉库马尔·希拉尼'],9.2,3030,45,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,3793023,4364
['姜文'],8.8,1500,45,让子弹飞,https://movie.douban.com/subject/3742360/,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,3742360,2200
['罗伯·莱纳'],9.0,1076,45,怦然心动,https://movie.douban.com/subject/3319755/,"['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,3319755,1600
"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']",9.2,1418,45,疯狂动物城,https://movie.douban.com/subject/25662329/,"['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,25662329,2005
['黄渤'],7.1,1080,35,一出好戏,https://movie.douban.com/subject/26985127/,"['黄渤', '舒淇', '王宝强', '张艺兴', '于和伟']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg,26985127,1512
['刘镇伟'],9.2,3645,45,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,"['周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,1292213,5103
"['彼特·道格特', '鲍勃·彼德森']",9.0,2700,45,飞屋环游记,https://movie.douban.com/subject/2129039/,"['爱德华·阿斯纳', '克里斯托弗·普卢默', '乔丹·长井', '鲍勃·彼德森', '戴尔里·林多']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg,2129039,4000
"['李·昂克里奇', '阿德里安·莫利纳']",9.1,1432,45,寻梦环游记,https://movie.douban.com/subject/20495023/,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,20495023,2048
['九把刀'],8.1,512,40,那些年，我们一起追的女孩,https://movie.douban.com/subject/4920528/,"['柯震东', '陈妍希', '敖犬', '郝劭文', '蔡昌宪']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1062824805.jpg,4920528,720
['刘镇伟'],9.0,1280,45,大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,"['周星驰', '吴孟达', '罗家英', '蓝洁瑛', '莫文蔚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,1299398,1830
"['普特鹏·普罗萨卡·那·萨克那卡林', '华森·波克彭']",8.4,1280,40,初恋这件小事,https://movie.douban.com/subject/4739952/,"['平采娜·乐维瑟派布恩', '马里奥·毛瑞尔', '苏达拉·布查蓬', '雅尼卡·桑普蕾舞', '诺特·阿查拉那·阿瑞亚卫考']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,4739952,1829
['饶晓志'],8.1,1429,40,无名之辈,https://movie.douban.com/subject/27110296/,"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,27110296,2000
['让-皮埃尔·热内'],8.7,1280,45,天使爱美丽,https://movie.douban.com/subject/1292215/,"['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,1292215,1920
['饺子'],8.6,5594,45,哪吒之魔童降世,https://movie.douban.com/subject/26794435/,"['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,26794435,8268
['彼得·法雷里'],8.9,2000,45,绿皮书,https://movie.douban.com/subject/27060077/,"['维果·莫腾森', '马赫沙拉·阿里', '琳达·卡德里尼', '塞巴斯蒂安·马尼斯科', '迪米特·D·马里诺夫']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,27060077,3167
['韩寒'],6.9,7142,35,飞驰人生,https://movie.douban.com/subject/30163509/,"['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg,30163509,10000
['陈思诚'],6.7,1000,35,唐人街探案2,https://movie.douban.com/subject/26698897/,"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511355624.jpg,26698897,1400
['罗伯托·贝尼尼'],9.5,2015,50,美丽人生,https://movie.douban.com/subject/1292063/,"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,1292063,3000
['李力持'],8.6,400,45,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,"['周星驰', '巩俐', '陈百祥', '郑佩佩', '朱咪咪']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1946455272.jpg,1306249,530
['威廉·惠勒'],9.0,1600,45,罗马假日,https://movie.douban.com/subject/1293839/,"['奥黛丽·赫本', '格利高里·派克', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,1293839,2400
"['闫非', '彭大魔']",7.6,5906,40,夏洛特烦恼,https://movie.douban.com/subject/25964071/,"['沈腾', '马丽', '尹正', '艾伦', '王智']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264377763.jpg,25964071,8268
"['皮埃尔·柯芬', '克里斯·雷纳德']",8.6,1013,45,神偷奶爸,https://movie.douban.com/subject/3287562/,"['史蒂夫·卡瑞尔', '杰森·席格尔', '拉塞尔·布兰德', '朱莉·安德鲁斯', '威尔·阿奈特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,3287562,1500
['徐峥'],7.4,4134,35,人再囧途之泰囧,https://movie.douban.com/subject/10574622/,"['徐峥', '王宝强', '黄渤', '陶虹', '谢楠']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1793720172.jpg,10574622,5906
['宁浩'],6.4,960,30,疯狂的外星人,https://movie.douban.com/subject/25986662/,"['黄渤', '沈腾', '汤姆·派福瑞', '马修·莫里森', '徐峥']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,25986662,1359
['姜文'],7.0,2048,35,邪不压正,https://movie.douban.com/subject/26366496/,"['彭于晏', '廖凡', '姜文', '周韵', '许晴']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg,26366496,2867
"['周星驰', '李力持']",8.7,516,45,喜剧之王,https://movie.douban.com/subject/1302425/,"['周星驰', '张柏芝', '莫文蔚', '吴孟达', '林子善']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg,1302425,764
['周星驰'],6.7,3500,35,美人鱼,https://movie.douban.com/subject/19944106/,"['邓超', '罗志祥', '张雨绮', '林允', '徐克']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg,19944106,4889
"['唐·霍尔', '克里斯·威廉姆斯']",8.6,8268,45,超能陆战队,https://movie.douban.com/subject/11026735/,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '杰米·钟']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,11026735,11811
"['柯克·德·米科', '克里斯·桑德斯']",8.7,510,45,疯狂原始人,https://movie.douban.com/subject/1907966/,"['尼古拉斯·凯奇', '艾玛·斯通', '瑞恩·雷诺兹', '凯瑟琳·基纳', '克萝丽丝·利奇曼']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,1907966,755
"['奥利维埃·纳卡什', '埃里克·托莱达诺']",9.2,2850,45,触不可及,https://movie.douban.com/subject/6786002/,"['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '托马·索利韦尔']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1454259399.jpg,6786002,3872
