directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['朱塞佩·托纳多雷'],8.8,600,45,西西里的美丽传说,https://movie.douban.com/subject/1292402/,"['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', '玛蒂尔德·皮亚纳', '埃丽萨·莫鲁奇', '奥罗拉·夸特罗基']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,1292402,800
['李安'],8.4,1051,40,色，戒,https://movie.douban.com/subject/1828115/,"['梁朝伟', '汤唯', '陈冲', '王力宏', '庹宗华']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,1828115,1500
['让-雅克·阿诺'],8.2,800,40,情人,https://movie.douban.com/subject/1291868/,"['珍·玛奇', '梁家辉', '弗雷德丽克·梅南热', '阿诺·乔瓦尼内蒂', '梅尔维尔·珀波']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553122878.jpg,1291868,1172
"['阿德里安·莱恩', '史蒂芬·希夫']",8.2,1000,40,一树梨花压海棠,https://movie.douban.com/subject/1296778/,"['杰瑞米·艾恩斯', '梅兰尼·格里菲斯', '弗兰克·兰格拉', '多米尼克·斯万', '苏珊妮·谢泼德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193339885.jpg,1296778,1408
['保罗·范霍文'],7.8,511,40,本能,https://movie.douban.com/subject/1291869/,"['迈克尔·道格拉斯', '莎朗·斯通', '乔治·杜兹达扎', '珍妮·特里普里霍恩', '丹尼斯·阿尔恩特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910917679.jpg,1291869,755
['贝纳尔多·贝托鲁奇'],8.0,2065,40,戏梦巴黎,https://movie.douban.com/subject/1291856/,"['迈克尔·皮特', '伊娃·格林', '路易·加瑞尔', '安娜·钱斯勒', '罗宾·瑞努奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374017596.jpg,1291856,3075
['尹齐均'],7.2,750,35,色即是空,https://movie.douban.com/subject/1305279/,"['任昌丁', '河智苑', '崔成国', '刘彩英', '陈彩英']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1708333849.jpg,1305279,1075
['李玉'],6.6,1181,35,苹果,https://movie.douban.com/subject/1966464/,"['梁家辉', '佟大为', '范冰冰', '金燕玲', '曾美慧孜']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1549248410.jpg,1966464,1661
['斯坦利·库布里克'],7.8,700,40,大开眼戒,https://movie.douban.com/subject/1300275/,"['汤姆·克鲁斯', '妮可·基德曼', '麦迪逊·埃金顿', '杰基·萨维里斯', '西德尼·波拉克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159371501.jpg,1300275,1000
['史蒂夫·麦奎因'],7.3,2480,35,羞耻,https://movie.douban.com/subject/5360890/,"['迈克尔·法斯宾德', '凯瑞·穆里根', '妮可·贝哈瑞 ', '露西·沃特斯', '詹姆斯·戴尔']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1499701469.jpg,5360890,3543
['斯坦利·库布里克'],7.8,1267,40,洛丽塔,https://movie.douban.com/subject/1296992/,"['詹姆斯·梅森', '谢利·温特斯', '苏·莱恩', '加里·科克雷尔', '杰里·斯托文']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2216931670.jpg,1296992,1920
"['米开朗基罗·安东尼奥尼', '维姆·文德斯']",7.7,1500,40,云上的日子,https://movie.douban.com/subject/1291558/,"['苏菲·玛索', '约翰·马尔科维奇', '芬妮·阿尔丹', '切瑞拉·凯瑟莉', '伊莲娜·雅各布']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507020671.jpg,1291558,2000
['拉斯·冯·提尔'],7.8,1381,40,女性瘾者：第一部,https://movie.douban.com/subject/6827727/,"['夏洛特·甘斯布', '斯特兰·斯卡斯加德', '斯塔西·马汀', '希亚·拉博夫', '克里斯蒂安·史莱特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151633260.jpg,6827727,2048
['迈克尔·克里斯托弗'],7.4,2090,35,原罪,https://movie.douban.com/subject/1302303/,"['安东尼奥·班德拉斯', '安吉丽娜·朱莉', '托马斯·简', '杰克·汤普森', 'Allison Mackie']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563026581.jpg,1302303,3085
['金基德'],7.4,787,35,撒玛利亚女孩,https://movie.douban.com/subject/1308854/,"['韩业云', '郭智敏', '李乌', '郑仁基', '吴龙']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p462398519.jpg,1308854,1126
['罗曼·波兰斯基'],8.3,437,40,苦月亮,https://movie.douban.com/subject/1301582/,"['休·格兰特', '克里斯汀·斯科特·托马斯', '艾玛纽尔·塞尼耶', '彼德·考约特', '罗伯特·本穆萨']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p700187064.jpg,1301582,600
['詹姆斯·弗雷'],5.3,3158,25,五十度黑,https://movie.douban.com/subject/26323031/,"['达科塔·约翰逊', '詹米·多南', '埃里克·约翰逊', '艾洛斯·慕福特', '贝拉·希思科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2412519473.jpg,26323031,5000
['闵奎东'],6.5,1200,35,奸臣,https://movie.douban.com/subject/25823840/,"['朱智勋', '金康宇', '林智妍', '千虎珍', '李裕英']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254795801.jpg,25823840,1714
['金大佑'],6.4,2014,30,人间中毒,https://movie.douban.com/subject/25700838/,"['宋承宪', '林智妍', '赵汝贞', '温宙完', '柳海真']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2208681237.jpg,25700838,2870
['孙立基'],5.1,4050,25,3D肉蒲团之极乐宝鉴,https://movie.douban.com/subject/6114876/,"['叶山豪', '蓝心妍', '松野井雅', '周防雪子', '雷凯欣']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p949659842.jpg,6114876,5700
['拉斯·冯·提尔'],7.8,500,40,女性瘾者：第二部,https://movie.douban.com/subject/10792650/,"['夏洛特·甘斯布', '斯特兰·斯卡斯加德', '斯塔西·马汀', '希亚·拉博夫', '杰米·贝尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165465692.jpg,10792650,741
['金泰恩'],6.5,900,35,爱人,https://movie.douban.com/subject/1463033/,"['成贤娥', '赵东赫', '金艺玲', '吉海妍', '池大汉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192556196.jpg,1463033,1283
['詹姆斯·弗雷'],5.6,2526,30,五十度飞,https://movie.douban.com/subject/26323032/,"['达科塔·约翰逊', '詹米·多南', '阿莉尔·凯贝尔', '埃里克·约翰逊', '瑞塔·奥拉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504300654.jpg,26323032,4000
['贝纳尔多·贝托鲁奇'],7.2,499,35,巴黎最后的探戈,https://movie.douban.com/subject/1300353/,"['马龙·白兰度', '玛利亚·施奈德', '让-皮埃尔·利奥德', '马西莫·吉洛蒂', '玛丽亚·米琪']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449649244.jpg,1300353,755
