directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['程小东'],8.7,1400,45,倩女幽魂,https://movie.douban.com/subject/1297447/,"['张国荣', '王祖贤', '午马', '刘兆铭', '林威']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,1297447,2100
['张艺谋'],7.2,3927,35,影,https://movie.douban.com/subject/4864908/,"['邓超', '孙俪', '郑恺', '王千源', '王景春']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530513100.jpg,4864908,5788
['王家卫'],8.6,648,45,东邪西毒,https://movie.douban.com/subject/1292328/,"['张国荣', '林青霞', '梁朝伟', '张学友', '张曼玉']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,1292328,900
['刘镇伟'],8.7,787,45,射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,"['梁朝伟', '林青霞', '张国荣', '叶玉卿', '张学友']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg,1316510,1080
['路阳'],7.6,4339,40,绣春刀,https://movie.douban.com/subject/24745500/,"['张震', '刘诗诗', '王千源', '李东学', '聂远']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194066391.jpg,24745500,6551
['路阳'],7.2,800,35,绣春刀II：修罗战场,https://movie.douban.com/subject/26270502/,"['张震', '杨幂', '张译', '雷佳音', '辛芷蕾']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561713454.jpg,26270502,1165
"['李惠民', '姜明海']",8.6,1365,45,新龙门客栈,https://movie.douban.com/subject/1292287/,"['张曼玉', '林青霞', '梁家辉', '甄子丹', '熊欣欣']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,1292287,2048
['李安'],8.2,509,40,卧虎藏龙,https://movie.douban.com/subject/1301168/,"['周润发', '杨紫琼', '章子怡', '张震', '郎雄']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1507810991.jpg,1301168,755
['徐克'],6.1,2500,30,狄仁杰之四大天王,https://movie.douban.com/subject/25882296/,"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526405034.jpg,25882296,3500
['陈嘉上'],7.7,600,40,武状元苏乞儿,https://movie.douban.com/subject/1297863/,"['周星驰', '张敏', '吴孟达', '徐少强', '林威']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2002731301.jpg,1297863,821
['张艺谋'],7.3,1654,35,英雄,https://movie.douban.com/subject/1306123/,"['李连杰', '梁朝伟', '张曼玉', '章子怡', '陈道明']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1774548839.jpg,1306123,2338
['徐克'],6.7,2103,35,龙门飞甲,https://movie.douban.com/subject/4896304/,"['李连杰', '周迅', '陈坤', '李宇春', '桂纶镁']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1311653469.jpg,4896304,3000
"['王晶', '程小东']",8.0,400,40,鹿鼎记,https://movie.douban.com/subject/1297223/,"['周星驰', '吴孟达', '张敏', '吴君如', '邱淑贞']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1655229345.jpg,1297223,518
['徐浩峰'],8.1,1280,40,师父,https://movie.douban.com/subject/25919910/,"['廖凡', '宋佳', '蒋雯丽', '金士杰', '宋洋']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554541437.jpg,25919910,1792
['罗伯·明可夫'],5.5,1800,30,功夫之王,https://movie.douban.com/subject/1939414/,"['李连杰', '成龙', '刘亦菲', '李冰冰', '迈克尔·安格拉诺']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p887405912.jpg,1939414,2775
['王晶'],5.1,493,25,大内密探灵灵狗,https://movie.douban.com/subject/3670447/,"['古天乐', '徐熙媛', '佟大为', '吴君如', '宋佳']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374045339.jpg,3670447,700
['侯孝贤'],7.3,4429,35,刺客聂隐娘,https://movie.douban.com/subject/2303845/,"['舒淇', '张震', '周韵', '妻夫木聪', '阮经天']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2262306528.jpg,2303845,6201
['张艺谋'],6.0,1825,30,十面埋伏,https://movie.douban.com/subject/1308722/,"['金城武', '刘德华', '章子怡', '宋丹丹', '刘腾远']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2160809605.jpg,1308722,2600
['陈凯歌'],5.9,1000,30,赵氏孤儿,https://movie.douban.com/subject/3546019/,"['葛优', '王学圻', '黄晓明', '范冰冰', '海清']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p819200277.jpg,3546019,1499
['冯小刚'],5.8,1032,30,夜宴,https://movie.douban.com/subject/1418605/,"['章子怡', '葛优', '吴彦祖', '周迅', '马精武']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1625773339.jpg,1418605,1563
['程小东'],8.4,970,40,笑傲江湖2：东方不败,https://movie.douban.com/subject/1294417/,"['李连杰', '林青霞', '关之琳', '李嘉欣', '李子雄']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p838966341.jpg,1294417,1442
"['王晶', '程小东']",7.8,747,40,鹿鼎记2：神龙教,https://movie.douban.com/subject/1306951/,"['周星驰', '邱淑贞', '林青霞', '李嘉欣', '陈百祥']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1655227895.jpg,1306951,1056
['陈可辛'],6.6,1461,35,武侠,https://movie.douban.com/subject/4942776/,"['甄子丹', '金城武', '汤唯', '王羽', '惠英红']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1084310090.jpg,4942776,2048
['苏照彬'],7.1,735,35,剑雨,https://movie.douban.com/subject/3813779/,"['杨紫琼', '郑雨盛', '王学圻', '徐熙媛', '余文乐']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p636665128.jpg,3813779,1084
['元奎'],7.8,408,40,方世玉,https://movie.douban.com/subject/1297763/,"['李连杰', '萧芳芳', '陈松勇', '李嘉欣', '胡慧中']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2186152223.jpg,1297763,590
