directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['郭帆'],7.9,1786,40,流浪地球,https://movie.douban.com/subject/26266893/,"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,26266893,2500
['詹姆斯·卡梅隆'],9.4,2015,45,泰坦尼克号,https://movie.douban.com/subject/1292722/,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,1292722,3000
['延尚昊'],8.4,1500,40,釜山行,https://movie.douban.com/subject/25986180/,"['孔侑', '郑有美', '马东锡', '金秀安', '金义城']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,25986180,2145
['罗兰·艾默里奇'],7.8,3365,40,2012,https://movie.douban.com/subject/3005875/,"['约翰·库萨克', '切瓦特·埃加福特', '阿曼达·皮特', '坦迪·牛顿', '丹尼·格洛弗']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p505238859.jpg,3005875,5000
['冯小刚'],7.6,1432,40,唐山大地震,https://movie.douban.com/subject/3596502/,"['徐帆', '张静初', '李晨', '陈道明', '张子枫']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p545837150.jpg,3596502,2000
['罗兰·艾默里奇'],8.2,1359,40,后天,https://movie.douban.com/subject/1308779/,"['丹尼斯·奎德', '杰克·吉伦哈尔', '埃米·罗森', '达什·米霍克', '杰伊·桑德斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209602029.jpg,1308779,1986
['阿方索·卡隆'],7.9,690,40,地心引力,https://movie.douban.com/subject/3793783/,"['桑德拉·布洛克', '乔治·克鲁尼', '艾德·哈里斯', '奥托·伊格内修森', '法尔杜特·夏尔马']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2159078612.jpg,3793783,1000
['奉俊昊'],7.4,4134,35,雪国列车,https://movie.douban.com/subject/3071441/,"['克里斯·埃文斯', '杰米·贝尔', '宋康昊', '蒂尔达·斯文顿', '艾德·哈里斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173648321.jpg,3071441,5906
['罗兰·艾默里奇'],8.0,525,40,独立日,https://movie.douban.com/subject/1293013/,"['威尔·史密斯', '比尔·普尔曼', '杰夫·高布伦', '玛丽·麦克唐纳', '贾德·赫希']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453518655.jpg,1293013,755
['奉俊昊'],7.4,900,35,汉江怪物,https://movie.douban.com/subject/1763134/,"['宋康昊', '朴海日', '裴斗娜', '高雅星', '李在应']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p452546089.jpg,1763134,1283
['冯小刚'],7.6,1029,40,一九四二,https://movie.douban.com/subject/6011805/,"['张国立', '张默', '徐帆', '李雪健', '陈道明']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1767278057.jpg,6011805,1440
['加里斯·爱德华斯'],6.5,1772,35,哥斯拉,https://movie.douban.com/subject/2063914/,"['亚伦·泰勒-约翰逊', '卡梅隆·CJ·亚当斯', '渡边谦', '布莱恩·科兰斯顿', '伊丽莎白·奥尔森']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2185227574.jpg,2063914,2631
['迈克尔·道赫蒂'],6.3,1500,30,哥斯拉2：怪兽之王,https://movie.douban.com/subject/25890017/,"['凯尔·钱德勒', '维拉·法米加', '米莉·波比·布朗', '章子怡', '渡边谦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554370800.jpg,25890017,2150
['布拉德·佩顿'],7.0,4465,35,末日崩塌,https://movie.douban.com/subject/25786077/,"['道恩·强森', '亚历珊德拉·达达里奥', '卡拉·古奇诺', '雨果·约翰斯通-伯特', '雅奇·潘嘉比']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2247341513.jpg,25786077,6354
['陈国辉'],6.7,1429,35,烈火英雄,https://movie.douban.com/subject/30221757/,"['黄晓明', '杜江', '谭卓', '杨紫', '欧豪']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563630521.jpg,30221757,2000
['金成勋'],7.8,2500,40,隧道,https://movie.douban.com/subject/26410594/,"['河正宇', '吴达洙', '裴斗娜', '南志铉', '金成圭']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2358109451.jpg,26410594,3571
['彼得·博格'],6.6,1464,35,超级战舰,https://movie.douban.com/subject/3742937/,"['泰勒·克奇', '亚历山大·斯卡斯加德', '蕾哈娜', '布鲁克琳·黛克', '浅野忠信']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505422082.jpg,3742937,2100
"['佐米·希尔拉', '杰夫·瓦德洛']",7.5,5906,40,空中营救,https://movie.douban.com/subject/10598440/,"['连姆·尼森', '朱丽安·摩尔', '斯科特·麦克纳里', '米歇尔·道克瑞', '内特·派克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2199638985.jpg,10598440,8424
['亚历克斯·普罗亚斯'],6.7,4000,35,神秘代码,https://movie.douban.com/subject/2354729/,"['尼古拉斯·凯奇', '钱德勒·坎特布瑞', '萝丝·拜恩', 'D.G. Maloney', 'John DeVito']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2207854660.jpg,2354729,6000
['罗兰·艾默里奇'],7.3,3000,35,惊天危机,https://movie.douban.com/subject/10746175/,"['查宁·塔图姆', '杰米·福克斯', '玛吉·吉伦哈尔', '杰森·克拉克', '理查德·詹金斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2039109399.jpg,10746175,4286
['罗兰·艾默里奇'],5.6,1500,30,独立日2：卷土重来,https://movie.douban.com/subject/4811813/,"['利亚姆·海姆斯沃斯', '杰夫·高布伦', '比尔·普尔曼', '麦卡·梦露', '杰西·厄舍']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2362976267.jpg,4811813,2261
['金成洙'],7.9,2000,40,流感,https://movie.douban.com/subject/10432911/,"['张赫', '秀爱', '朴敏荷', '柳海真', '李熙俊']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2029391129.jpg,10432911,2865
['迪安·德夫林'],6.0,3440,30,全球风暴,https://movie.douban.com/subject/22266012/,"['杰拉德·巴特勒', '吉姆·斯特吉斯', '艾比·考尼什', '亚历山德拉·玛丽亚·拉娜', '吴彦祖']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501769525.jpg,22266012,5000
['罗兰·艾默里奇'],7.1,1516,35,哥斯拉,https://movie.douban.com/subject/1295292/,"['马修·布罗德里克', '让·雷诺', '玛丽亚·皮提罗', '汉克·阿扎利亚', '凯文·杜恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1583456026.jpg,1295292,2222
