directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['吕克·贝松'],9.4,658,45,这个杀手不太冷,https://movie.douban.com/subject/1295644/,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,1295644,980
['弗兰克·德拉邦特'],9.7,2000,50,肖申克的救赎,https://movie.douban.com/subject/1292052/,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,1292052,2963
['庄文强'],8.1,1000,40,无双,https://movie.douban.com/subject/26425063/,"['周润发', '郭富城', '张静初', '冯文娟', '廖启智']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,26425063,1400
"['刘伟强', '麦兆辉']",9.2,1000,45,无间道,https://movie.douban.com/subject/1307914/,"['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,1307914,1518
['陈思诚'],6.7,1000,35,唐人街探案2,https://movie.douban.com/subject/26698897/,"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2511355624.jpg,26698897,1400
['管虎'],7.7,717,40,老炮儿,https://movie.douban.com/subject/24751756/,"['冯小刚', '许晴', '张涵予', '刘桦', '李易峰']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2292976849.jpg,24751756,1000
['奥里奥尔·保罗'],8.8,5906,45,看不见的客人,https://movie.douban.com/subject/26580232/,"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,26580232,8425
['大卫·芬奇'],8.8,709,45,七宗罪,https://movie.douban.com/subject/1292223/,"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,1292223,1002
['克里斯托弗·诺兰'],9.1,4050,45,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,1851857,6000
['林超贤'],8.0,1429,40,湄公河行动,https://movie.douban.com/subject/25815034/,"['张涵予', '彭于晏', '孙淳', '陈宝国', '冯文娟']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2380677316.jpg,25815034,2000
['是枝裕和'],8.7,3300,45,小偷家族,https://movie.douban.com/subject/27622447/,"['中川雅也', '安藤樱', '松冈茉优', '城桧吏', '佐佐木美结']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,27622447,4659
['周星驰'],8.4,2143,40,功夫,https://movie.douban.com/subject/1291543/,"['周星驰', '元秋', '元华', '黄圣依', '梁小龙']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,1291543,2993
['弗朗西斯·福特·科波拉'],9.3,1130,45,教父,https://movie.douban.com/subject/1291841/,"['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺', '罗伯特·杜瓦尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,1291841,1599
['乔纳森·戴米'],8.8,2489,45,沉默的羔羊,https://movie.douban.com/subject/1293544/,"['朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦', '安东尼·希尔德', '布鲁克·史密斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,1293544,3686
['宁浩'],8.4,578,40,疯狂的石头,https://movie.douban.com/subject/1862151/,"['郭涛', '刘桦', '连晋', '黄渤', '徐峥']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,1862151,764
['纳塔吾·彭皮里亚'],8.2,1071,40,天才枪手,https://movie.douban.com/subject/27024903/,"['茱蒂蒙·琼查容苏因', '查侬·散顶腾古', '依莎亚·贺苏汪', '披纳若·苏潘平佑', '塔内·瓦拉库努娄']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501863104.jpg,27024903,1500
['昆汀·塔伦蒂诺'],8.8,514,45,低俗小说,https://movie.douban.com/subject/1291832/,"['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,1291832,755
