directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['郭帆'],7.9,1786,40,流浪地球,https://movie.douban.com/subject/26266893/,"['屈楚萧', '吴京', '李光洁', '吴孟达', '赵今麦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,26266893,2500
['克里斯托弗·诺兰'],9.3,2229,45,盗梦空间,https://movie.douban.com/subject/3541415/,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,3541415,3300
"['安东尼·罗素', '乔·罗素']",8.1,1968,40,复仇者联盟3：无限战争,https://movie.douban.com/subject/24773958/,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517753454.jpg,24773958,2756
['鲁本·弗雷斯彻'],7.2,2050,35,毒液：致命守护者,https://movie.douban.com/subject/3168101/,"['汤姆·哈迪', '米歇尔·威廉姆斯', '里兹·阿迈德', '斯科特·黑兹', ' 瑞德·斯科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg,3168101,2910
['彼得·威尔'],9.2,997,45,楚门的世界,https://movie.douban.com/subject/1292064/,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,1292064,1500
['詹姆斯·卡梅隆'],8.7,400,45,阿凡达,https://movie.douban.com/subject/1652587/,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,1652587,592
['克里斯托弗·诺兰'],9.3,4858,45,星际穿越,https://movie.douban.com/subject/1889243/,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,1889243,7200
['史蒂文·斯皮尔伯格'],8.7,2000,45,头号玩家,https://movie.douban.com/subject/4920389/,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,4920389,3000
['安德鲁·斯坦顿'],9.3,3000,45,机器人总动员,https://movie.douban.com/subject/2131459/,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,2131459,4447
['乔斯·韦登'],8.2,1350,40,复仇者联盟,https://movie.douban.com/subject/1866479/,"['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1469137689.jpg,1866479,2000
['詹姆斯·麦克特格'],8.9,1000,45,V字仇杀队,https://movie.douban.com/subject/1309046/,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,1309046,1500
"['安东尼·罗素', '乔·罗素']",8.5,3000,45,复仇者联盟4：终局之战,https://movie.douban.com/subject/26100958/,"['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,26100958,4440
['宁浩'],6.4,960,30,疯狂的外星人,https://movie.douban.com/subject/25986662/,"['黄渤', '沈腾', '汤姆·派福瑞', '马修·莫里森', '徐峥']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,25986662,1359
"['埃里克·布雷斯', 'J·麦基·格鲁伯']",8.8,800,45,蝴蝶效应,https://movie.douban.com/subject/1292343/,"['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1863330956.jpg,1292343,1200
['佩顿·里德'],7.3,1968,35,蚁人2：黄蜂女现身,https://movie.douban.com/subject/26636712/,"['保罗·路德', '伊万杰琳·莉莉', '迈克尔·佩纳', '汉娜·乔恩-卡门', '沃尔顿·戈金斯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529389608.jpg,26636712,2756
['克里斯托弗·诺兰'],9.1,4050,45,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,1851857,6000
['乔恩·费儒'],8.2,448,40,钢铁侠,https://movie.douban.com/subject/1432146/,"['小罗伯特·唐尼', '泰伦斯·霍华德', '格温妮斯·帕特洛', '杰夫·布里吉斯', '莱丝莉·比伯']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p725871968.jpg,1432146,672
"['唐·霍尔', '克里斯·威廉姆斯']",8.6,8268,45,超能陆战队,https://movie.douban.com/subject/11026735/,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '杰米·钟']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,11026735,11811
['詹姆斯·古恩'],8.1,2033,40,银河护卫队,https://movie.douban.com/subject/7065154/,"['克里斯·帕拉特', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2198455702.jpg,7065154,3000
['乔斯·韦登'],7.4,2953,35,复仇者联盟2：奥创纪元,https://movie.douban.com/subject/10741834/,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '马克·鲁弗洛', '克里斯·埃文斯', '斯嘉丽·约翰逊']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2237747953.jpg,10741834,4175
"['安东尼·罗素', '乔·罗素']",7.8,1800,40,美国队长3,https://movie.douban.com/subject/25820460/,"['克里斯·埃文斯', '小罗伯特·唐尼', '斯嘉丽·约翰逊', '塞巴斯蒂安·斯坦', '安东尼·麦凯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.jpg,25820460,2521
['邓肯·琼斯'],8.4,2600,40,源代码,https://movie.douban.com/subject/3075287/,"['杰克·吉伦哈尔', '维拉·法米加', '米歇尔·莫纳汉', '杰弗里·怀特', '拉塞尔·皮特斯']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,3075287,3851
"['莉莉·沃卓斯基', '拉娜·沃卓斯基']",8.9,1554,45,黑客帝国,https://movie.douban.com/subject/1291843/,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '雨果·维文', '格洛丽亚·福斯特']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,1291843,2222
['沙恩·布莱克'],7.8,864,40,钢铁侠3,https://movie.douban.com/subject/3231742/,"['小罗伯特·唐尼', '盖·皮尔斯', '格温妮斯·帕特洛', '本·金斯利', '唐·钱德尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1955027201.jpg,3231742,1280
"['安东尼·罗素', '乔·罗素']",8.0,1985,40,美国队长2,https://movie.douban.com/subject/6390823/,"['克里斯·埃文斯', '斯嘉丽·约翰逊', '塞巴斯蒂安·斯坦', '安东尼·麦凯', '海莉·阿特维尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174824694.jpg,6390823,2835
['乔恩·费儒'],7.6,2290,40,钢铁侠2,https://movie.douban.com/subject/3066739/,"['小罗伯特·唐尼', '格温妮斯·帕特洛', '米基·洛克', '斯嘉丽·约翰逊', '山姆·洛克威尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p451885601.jpg,3066739,3198
['佩顿·里德'],7.7,1945,40,蚁人,https://movie.douban.com/subject/1866473/,"['保罗·路德', '迈克尔·道格拉斯', '伊万杰琳·莉莉', '寇瑞·斯托尔', '迈克尔·佩纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266823371.jpg,1866473,2881
['詹姆斯·古恩'],8.0,1418,40,银河护卫队2,https://movie.douban.com/subject/25937854/,"['克里斯·帕拉特', '佐伊·索尔达娜', '戴夫·巴蒂斯塔', '范·迪塞尔', '布莱德利·库珀']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455261804.jpg,25937854,1985
['乔·沃茨'],7.4,703,35,蜘蛛侠：英雄归来,https://movie.douban.com/subject/24753477/,"['汤姆·赫兰德', '小罗伯特·唐尼', '玛丽莎·托梅', '迈克尔·基顿', '雅各布·巴特朗']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497756471.jpg,24753477,1000
['雷德利·斯科特'],8.4,1200,40,火星救援,https://movie.douban.com/subject/25864085/,"['马特·达蒙', '杰西卡·查斯坦', '克里斯汀·韦格', '杰夫·丹尼尔斯', '迈克尔·佩纳']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,25864085,1809
['乔·庄斯顿'],7.0,2430,35,美国队长,https://movie.douban.com/subject/2138838/,"['克里斯·埃文斯', '海莉·阿特维尔', '塞巴斯蒂安·斯坦', '汤米·李·琼斯', '雨果·维文']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1182659238.jpg,2138838,3600
['瑞恩·库格勒'],6.5,1371,35,黑豹,https://movie.douban.com/subject/6390825/,"['查德维克·博斯曼', '露皮塔·尼永奥', '迈克尔·B·乔丹', '丹娜·奎里拉', '马丁·弗瑞曼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2512123434.jpg,6390825,1920
['罗兰·艾默里奇'],7.8,3365,40,2012,https://movie.douban.com/subject/3005875/,"['约翰·库萨克', '切瓦特·埃加福特', '阿曼达·皮特', '坦迪·牛顿', '丹尼·格洛弗']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p505238859.jpg,3005875,5000
['克里斯托弗·诺兰'],8.7,2700,45,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,3395373,4000
['特拉维斯·奈特'],7.0,1080,35,大黄蜂,https://movie.douban.com/subject/26394152/,"['海莉·斯坦菲尔德', '小豪尔赫·兰登伯格', '约翰·塞纳', '杰森·德鲁克', '帕梅拉·阿德龙']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541662397.jpg,26394152,1590
