directors,rate,cover_x,star,title,url,casts,cover,id,cover_y
['朱塞佩·托纳多雷'],9.2,600,45,海上钢琴师,https://movie.douban.com/subject/1292001/,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,1292001,884
['克里斯托夫·巴拉蒂'],9.3,491,45,放牛班的春天,https://movie.douban.com/subject/1291549/,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷', '玛丽·布奈尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,1291549,655
"['李·昂克里奇', '阿德里安·莫利纳']",9.1,1432,45,寻梦环游记,https://movie.douban.com/subject/20495023/,"['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg,20495023,2048
['周杰伦'],7.8,905,40,不能说的秘密,https://movie.douban.com/subject/2124724/,"['周杰伦', '桂纶镁', '黄秋生', '苏明明', '曾恺玹']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2568025412.jpg,2124724,1280
['阿德瓦·香登'],7.7,568,40,神秘巨星,https://movie.douban.com/subject/26942674/,"['塞伊拉·沃西', '梅·维贾', '阿米尔·汗', '拉杰·阿晶', '提斯·沙马']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508925590.jpg,26942674,800
['达米恩·查泽雷'],8.7,3600,45,爆裂鼓手,https://movie.douban.com/subject/25773932/,"['迈尔斯·特勒', 'J·K·西蒙斯', '保罗·雷瑟', '梅莉莎·班诺伊', '奥斯汀·斯托维尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,25773932,5333
['罗曼·波兰斯基'],9.1,1000,45,钢琴家,https://movie.douban.com/subject/1296736/,"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,1296736,1381
['大鹏'],6.6,1500,35,缝纫机乐队,https://movie.douban.com/subject/26926321/,"['大鹏', '乔杉', '古力娜扎', '李鸿其', '韩童生']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498558511.jpg,26926321,2100
['布莱恩·辛格'],8.7,3000,45,波西米亚狂想曲,https://movie.douban.com/subject/5300054/,"['拉米·马雷克', '本·哈迪', '约瑟夫·梅泽罗', '格威利姆·李', '艾伦·里奇']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,5300054,4418
['约翰·卡尼'],8.5,787,45,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,"['凯拉·奈特莉', '马克·鲁弗洛', '亚当·莱文', '詹姆斯·柯登', '海莉·斯坦菲尔德']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,6874403,1153
